name,source,family,arch,img_size,batch_size,global_batch_size,lr,dropout,weight_decay,label_smoothing,best_val_acc,best_epoch,test_acc,run_dir,cfg_hash,epochs,val_split,acc_LukeTest,acc_MarcoTest
DenseNet201 (e1fb67),single_arch,DenseNet,DenseNet201,224,11,32,5e-05,0.3,0.0001,0.05,0.9873294346978556,20,0.985167837626854,~/Alzheimers/Results/Singles_Falah/DenseNet201/e1fb67d4e0,e1fb67d4e0,20,0.2,0.9984387197501952,0.9691666666666666
ResNet152 (b54d91),single_arch,ResNet,ResNet152,224,11,32,5e-05,0.3,0.0001,0.05,0.9844054580896686,20,0.985167837626854,~/Alzheimers/Results/Singles_Falah/ResNet152/b54d916372,b54d916372,20,0.2,0.9875097580015612,0.9541666666666668
ResNet101 (00c217),single_arch,ResNet,ResNet101,224,11,32,5e-05,0.3,0.0001,0.05,0.9883040935672516,20,0.9820452771272444,~/Alzheimers/Results/Singles_Falah/ResNet101/00c217409f,00c217409f,20,0.2,0.9875097580015612,0.9141666666666668
ResNeXt101_32x8d (8dc5e5),single_arch,ResNeXt,ResNeXt101_32x8d,224,11,32,5e-05,0.3,0.0001,0.05,0.98635477582846,19,0.9773614363778298,~/Alzheimers/Results/Singles_Falah/ResNeXt101_32x8d/8dc5e53fdd,8dc5e53fdd,20,0.2,0.990632318501171,0.8625
ResNeXt50_32x4d (eb48f7),single_arch,ResNeXt,ResNeXt50_32x4d,224,11,32,5e-05,0.3,0.0001,0.05,0.98635477582846,18,0.975800156128025,~/Alzheimers/Results/Singles_Falah/ResNeXt50_32x4d/eb48f7ff32,eb48f7ff32,20,0.2,0.9898516783762684,0.9625
ResNet50 (eed3bb),single_arch,ResNet,ResNet50,224,11,32,5e-05,0.3,0.0001,0.05,0.97953216374269,19,0.9750195160031224,~/Alzheimers/Results/Singles_Falah/ResNet50/eed3bbda52,eed3bbda52,20,0.2,0.9875097580015612,0.9266666666666666
DenseNet161 (e2f2c4),single_arch,DenseNet,DenseNet161,224,11,32,5e-05,0.3,0.0001,0.05,0.9805068226120858,18,0.9711163153786104,~/Alzheimers/Results/Singles_Falah/DenseNet161/e2f2c40e66,e2f2c40e66,20,0.2,0.989071038251366,0.9475
InceptionV3 (9cf706),single_arch,Inception,InceptionV3,299,5,32,5e-05,0.3,0.0001,0.05,0.9746588693957114,18,0.966432474629196,~/Alzheimers/Results/Singles_Falah/InceptionV3/9cf70656d9,9cf70656d9,20,0.2,0.9828259172521469,0.9066666666666666
DenseNet121 (1096ae),single_arch,DenseNet,DenseNet121,224,11,32,5e-05,0.3,0.0001,0.05,0.97270955165692,18,0.9656518345042936,~/Alzheimers/Results/Singles_Falah/DenseNet121/1096aeec6c,1096aeec6c,20,0.2,0.9773614363778298,0.9216666666666666
VGG16 (708727),single_arch,VGG,VGG16,224,11,32,5e-05,0.3,0.0001,0.05,0.9717348927875245,18,0.9656518345042936,~/Alzheimers/Results/Singles_Falah/VGG16/708727df98,708727df98,20,0.2,0.9750195160031224,0.9391666666666668
DenseNet169 (fcf2b6),single_arch,DenseNet,DenseNet169,224,11,32,5e-05,0.3,0.0001,0.05,0.9717348927875245,19,0.9625292740046838,~/Alzheimers/Results/Singles_Falah/DenseNet169/fcf2b63f9e,fcf2b63f9e,20,0.2,0.981264637002342,0.9133333333333332
EffNetB0 (4b7d98),single_arch,EffNet,EffNetB0,224,11,32,5e-05,0.3,0.0001,0.05,0.956140350877193,19,0.936768149882904,~/Alzheimers/Results/Singles_Falah/EffNetB0/4b7d9889be,4b7d9889be,20,0.2,0.9679937548790007,0.685
MobileNetV2 (fbdea4),single_arch,MobileNetV2,MobileNetV2,224,11,32,5e-05,0.3,0.0001,0.05,0.946393762183236,19,0.9305230288836848,~/Alzheimers/Results/Singles_Falah/MobileNetV2/fbdea42b98,fbdea42b98,20,0.2,0.9726775956284152,0.72
MobileNetV3_L (d44d59),single_arch,MobileNetV3,MobileNetV3_L,224,11,32,5e-05,0.3,0.0001,0.05,0.9512670565302144,18,0.9242779078844652,~/Alzheimers/Results/Singles_Falah/MobileNetV3_L/d44d59d55e,d44d59d55e,20,0.2,0.9672131147540984,0.7766666666666666
CNN_Small (116c12),single_arch,CNN_Small,CNN_Small,224,11,32,5e-05,0.3,0.0001,0.05,0.5107212475633528,3,0.5136612021857924,~/Alzheimers/Results/Singles_Falah/CNN_Small/116c12a036,116c12a036,20,0.2,0.5136612021857924,0.5133333333333333
