name,source,family,arch,img_size,batch_size,global_batch_size,lr,dropout,weight_decay,label_smoothing,best_val_acc,best_epoch,test_acc,run_dir,cfg_hash,epochs,val_split,acc_MarcoTest,acc_FalahTest
ResNeXt50_32x4d (eb48f7),single_arch,ResNeXt,ResNeXt50_32x4d,224,11,32,5e-05,0.3,0.0001,0.05,0.9897510980966324,16,0.9875097580015612,~/Alzheimers/Results/Singles_Luke/ResNeXt50_32x4d/eb48f7ff32,eb48f7ff32,20,0.2,0.865,0.9726775956284152
ResNeXt101_32x8d (8dc5e5),single_arch,ResNeXt,ResNeXt101_32x8d,224,11,32,5e-05,0.3,0.0001,0.05,0.9936554416788678,14,0.9843871975019516,~/Alzheimers/Results/Singles_Luke/ResNeXt101_32x8d/8dc5e53fdd,8dc5e53fdd,20,0.2,0.8733333333333333,0.9789227166276346
ResNet101 (00c217),single_arch,ResNet,ResNet101,224,11,32,5e-05,0.3,0.0001,0.05,0.9892630551488532,16,0.9797033567525372,~/Alzheimers/Results/Singles_Luke/ResNet101/00c217409f,00c217409f,20,0.2,0.8541666666666666,0.9750195160031224
ResNet50 (eed3bb),single_arch,ResNet,ResNet50,224,11,32,5e-05,0.3,0.0001,0.05,0.9907271839921912,15,0.9781420765027322,~/Alzheimers/Results/Singles_Luke/ResNet50/eed3bbda52,eed3bbda52,20,0.2,0.89,0.9726775956284152
DenseNet201 (e1fb67),single_arch,DenseNet,DenseNet201,224,11,32,5e-05,0.3,0.0001,0.05,0.9877989263055148,15,0.9773614363778298,~/Alzheimers/Results/Singles_Luke/DenseNet201/e1fb67d4e0,e1fb67d4e0,20,0.2,0.95,0.9781420765027322
DenseNet161 (e2f2c4),single_arch,DenseNet,DenseNet161,224,11,32,5e-05,0.3,0.0001,0.05,0.9882869692532944,18,0.9750195160031224,~/Alzheimers/Results/Singles_Luke/DenseNet161/e2f2c40e66,e2f2c40e66,20,0.2,0.885,0.975800156128025
ResNet152 (b54d91),single_arch,ResNet,ResNet152,224,11,32,5e-05,0.3,0.0001,0.05,0.9848706686188384,16,0.9750195160031224,~/Alzheimers/Results/Singles_Luke/ResNet152/b54d916372,b54d916372,20,0.2,0.8091666666666667,0.9804839968774396
DenseNet169 (fcf2b6),single_arch,DenseNet,DenseNet169,224,11,32,5e-05,0.3,0.0001,0.05,0.986822840409956,17,0.9734582357533176,~/Alzheimers/Results/Singles_Luke/DenseNet169/fcf2b63f9e,fcf2b63f9e,20,0.2,0.8991666666666667,0.9773614363778298
InceptionV3 (9cf706),single_arch,Inception,InceptionV3,299,5,32,5e-05,0.3,0.0001,0.05,0.9858467545143972,17,0.9726775956284152,~/Alzheimers/Results/Singles_Luke/InceptionV3/9cf70656d9,9cf70656d9,20,0.2,0.72,0.97423887587822
DenseNet121 (1096ae),single_arch,DenseNet,DenseNet121,224,11,32,5e-05,0.3,0.0001,0.05,0.9858467545143972,16,0.9672131147540984,~/Alzheimers/Results/Singles_Luke/DenseNet121/1096aeec6c,1096aeec6c,20,0.2,0.8458333333333333,0.9617486338797814
MobileNetV3_L (d44d59),single_arch,MobileNetV3,MobileNetV3_L,224,11,32,5e-05,0.3,0.0001,0.05,0.9790141532454856,20,0.9633099141295862,~/Alzheimers/Results/Singles_Luke/MobileNetV3_L/d44d59d55e,d44d59d55e,20,0.2,0.7725,0.8844652615144418
VGG16 (708727),single_arch,VGG,VGG16,224,11,32,5e-05,0.3,0.0001,0.05,0.9824304538799414,17,0.9617486338797814,~/Alzheimers/Results/Singles_Luke/VGG16/708727df98,708727df98,20,0.2,0.8891666666666667,0.9625292740046838
MobileNetV2 (fbdea4),single_arch,MobileNetV2,MobileNetV2,224,11,32,5e-05,0.3,0.0001,0.05,0.9785261102977062,20,0.9461358313817332,~/Alzheimers/Results/Singles_Luke/MobileNetV2/fbdea42b98,fbdea42b98,20,0.2,0.7075,0.8883684621389539
EffNetB0 (4b7d98),single_arch,EffNet,EffNetB0,224,11,32,5e-05,0.3,0.0001,0.05,0.9741337237676916,19,0.9437939110070258,~/Alzheimers/Results/Singles_Luke/EffNetB0/4b7d9889be,4b7d9889be,20,0.2,0.7083333333333334,0.9508196721311476
CNN_Small (116c12),single_arch,CNN_Small,CNN_Small,224,11,32,5e-05,0.3,0.0001,0.05,0.3958028306490971,19,0.3715846994535519,~/Alzheimers/Results/Singles_Luke/CNN_Small/116c12a036,116c12a036,20,0.2,0.2516666666666666,0.3473848555815769
